"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","SMDIC04100TB00KQ00","","Equatorial_foot:CAP_SMDIC04100TB00KQ00","1",""
"C2","22uF/16V","","Equatorial_foot:22uF_16V","1",""
"D1","SMBJ58A","","Equatorial_foot:DIOM4336X265N","1",""
"F1","696101000002","https://www.we-online.com/components/products/datasheet/696101000002.pdf","Equatorial_foot:696101000002","1",""
"J1,J2","SS-60400-021","","Equatorial_foot:BEL_SS-60400-021","2",""
"J3","DCJ200-10-A-XX-K_REVA","https://4donline.ihs.com/images/VipMasterIC/IC/GCTI/GCTI-S-A0001311865/GCTI-S-A0001311865-1.pdf?hkey=6D3A4C79FDBF58556ACFDE234799DDF0","Equatorial_foot:GCT_DCJ200-10-A-XX-K_REVA","1",""
"R1,R2,R3,R4","330R/1_4W","","Equatorial_foot:RESC2012X65N","4",""
"RV1","V56MLA1206N","","Equatorial_foot:VARC3216X180N","1",""
"U1","SN75176AD","http://www.ti.com/lit/ds/symlink/sn75176a.pdf","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"U2","LM1117DT-5.0","http://www.ti.com/lit/ds/symlink/lm1117.pdf","Package_TO_SOT_SMD:TO-252-3_TabPin2","1",""
